Prot1,Prot2,Binding_Score,PDBs
P42081,P36897,-4.063478,P42081_P36897.pdb
P29317,Q04721,59.184464,P29317_Q04721.pdb
P55289,Q9Y5F1,-3.244729,P55289_Q9Y5F1.pdb
Q9H158,Q9HC56,-3.649321,Q9H158_Q9HC56.pdb
Q13443,P01133,55.822741,Q13443_P01133.pdb
Q6UXG3,Q6Q8B3,338.823608,Q6UXG3_Q6Q8B3.pdb
Q9BWV1,Q8N441,215.672335,Q9BWV1_Q8N441.pdb
P17301,Q9P1W8,6.860467,P17301_Q9P1W8.pdb
Q8TD84,Q8TD84,803.042881,Q8TD84_Q8TD84.pdb
P09564,Q9NR96,-4.739229,P09564_Q9NR96.pdb
P11362,P16144,158.550419,P11362_P16144.pdb
P16066,P29376,121.948877,P16066_P29376.pdb
P16234,P37173,34.294039,P16234_P37173.pdb
P27037,P19320,19.351905,P27037_P19320.pdb
P43146,P11362,79.023292,P43146_P11362.pdb
P11912,O95297,4.311034,P11912_O95297.pdb
P55291,Q08174,-3.858537,P55291_Q08174.pdb
P01732,P55082,-1.60511,P01732_P55082.pdb
Q9Y6N8,Q14574,-6.684476,Q9Y6N8_Q14574.pdb
Q04771,Q13145,191.761807,Q04771_Q13145.pdb
P01889,Q68D85,73.250587,P01889_Q68D85.pdb
P20036,Q9NZC2,70.098505,P20036_Q9NZC2.pdb
P32926,O60245,5.357109,P32926_O60245.pdb
P78552,Q8IU57,34.499776,P78552_Q8IU57.pdb
Q9H156,Q8IW52,45.38256,Q9H156_Q8IW52.pdb
Q9BZZ2,Q9NYK1,-4.7,Q9BZZ2_Q9NYK1.pdb
Q96AP7,P13612,66.650001,Q96AP7_P13612.pdb
P33681,Q495A1,119.035774,P33681_Q495A1.pdb
P05107,P32004,240.519018,P05107_P32004.pdb
Q5ZPR3,P01730,131.328545,Q5ZPR3_P01730.pdb
Q9NZQ7,P19320,131.851207,Q9NZQ7_P19320.pdb
P57087,O60487,5.079939,P57087_O60487.pdb
Q9Y5F0,Q9Y5G7,-5.723951,Q9Y5F0_Q9Y5G7.pdb
P12830,O00206,5.155973,P12830_O00206.pdb
P21802,Q01973,239.12287,P21802_Q01973.pdb
P53708,P05107,105.284011,P53708_P05107.pdb
P13747,P43628,308.30128,P13747_P43628.pdb
O60469,P40189,443.242925,O60469_P40189.pdb
P01589,Q92692,172.366302,P01589_Q92692.pdb
P01730,P20916,179.970025,P01730_P20916.pdb
P23467,P08922,751.131993,P23467_P08922.pdb
P05067,P32942,-3.936879,P05067_P32942.pdb
Q86UP0,Q9P2E7,3.984835,Q86UP0_Q9P2E7.pdb
Q9BY67,Q6UXL0,157.624803,Q9BY67_Q6UXL0.pdb
Q9UN72,O60245,-4.534223,Q9UN72_O60245.pdb
P05556,P32004,67.751812,P05556_P32004.pdb
P16109,P19320,125.992786,P16109_P19320.pdb
Q9Y5H8,Q08174,-4.644723,Q9Y5H8_Q08174.pdb
Q9Y5F2,Q9Y5F1,-5.576891,Q9Y5F2_Q9Y5F1.pdb
P01903,P05107,61.360994,P01903_P05107.pdb
P10321,Q99706,288.660269,P10321_Q99706.pdb
Q9UMF0,P32004,-3.95823,Q9UMF0_P32004.pdb
Q9P2E7,Q9Y5H9,-5.177182,Q9P2E7_Q9Y5H9.pdb
Q30201,P40189,44.820605,Q30201_P40189.pdb
Q15223,Q9HCK4,103.739376,Q15223_Q9HCK4.pdb
P00533,Q15303,280.167131,P00533_Q15303.pdb
O60469,Q9BZZ2,722.250712,O60469_Q9BZZ2.pdb
Q14118,P22607,51.512628,Q14118_P22607.pdb
Q96QU1,Q9Y5F8,-4.686357,Q96QU1_Q9Y5F8.pdb
P78310,P17301,34.580852,P78310_P17301.pdb
O60469,P08887,550.080461,O60469_P08887.pdb
Q13634,Q14574,3.854365,Q13634_Q14574.pdb
Q13478,P13612,230.516893,Q13478_P13612.pdb
O00241,Q9P1W8,50.655042,O00241_Q9P1W8.pdb
Q9Y5H9,Q9UN75,-5.394356,Q9Y5H9_Q9UN75.pdb
P36941,P25942,-6.47004,P36941_P25942.pdb
P43146,Q13651,164.349236,P43146_Q13651.pdb
Q9Y5E8,Q9Y5G6,-5.268538,Q9Y5E8_Q9Y5G6.pdb
Q8N423,P78324,59.424997,Q8N423_P78324.pdb
Q9HCJ2,Q92854,54.99943,Q9HCJ2_Q92854.pdb
O75309,Q14126,-0.158058,O75309_Q14126.pdb
Q5ZPR3,O14931,220.709329,Q5ZPR3_O14931.pdb
O94985,Q9Y5F9,93.022715,O94985_Q9Y5F9.pdb
P22223,Q08174,-1.380108,P22223_Q08174.pdb
P15391,P20273,201.613676,P15391_P20273.pdb
P56199,P46531,15.844845,P56199_P46531.pdb
P29322,Q15303,57.545188,P29322_Q15303.pdb
P43146,Q9Y6Q6,0.574351,P43146_Q9Y6Q6.pdb
Q5ZPR3,P24394,40.554328,Q5ZPR3_P24394.pdb
Q8NCW0,Q01974,13.716531,Q8NCW0_Q01974.pdb
Q13797,Q8NHL6,103.861326,Q13797_Q8NHL6.pdb
Q13651,Q8N423,55.582237,Q13651_Q8N423.pdb
P19022,Q14126,-7.321501,P19022_Q14126.pdb
Q9BQT9,Q9UN75,-0.773446,Q9BQT9_Q9UN75.pdb
P09619,Q04912,207.502503,P09619_Q04912.pdb
A6H8M9,Q9Y5G7,-5.685829,A6H8M9_Q9Y5G7.pdb
P57087,Q14943,82.381324,P57087_Q14943.pdb
Q9HCJ2,Q16620,7.95586,Q9HCJ2_Q16620.pdb
P00533,Q8TDY8,17.741037,P00533_Q8TDY8.pdb
P17301,P16581,188.1063,P17301_P16581.pdb
P06729,P78423,9.202185,P06729_P78423.pdb
P55285,Q02413,2.380633,P55285_Q02413.pdb
P26010,Q92823,209.312579,P26010_Q92823.pdb
P32927,P48357,282.202812,P32927_P48357.pdb
Q9ULB4,Q9Y5I4,1.976212,Q9ULB4_Q9Y5I4.pdb
P10321,Q8NHL6,191.152017,P10321_Q8NHL6.pdb
Q86SJ2,Q04900,100.065894,Q86SJ2_Q04900.pdb
P43146,Q15768,47.075112,P43146_Q15768.pdb
Q9Y6N8,Q9Y5H6,-1.081874,Q9Y6N8_Q9Y5H6.pdb
Q9HCL0,Q9Y5G1,-4.64129,Q9HCL0_Q9Y5G1.pdb
P17927,Q9HBG7,8.634479,P17927_Q9HBG7.pdb
P07766,P15151,20.955225,P07766_P15151.pdb
Q08345,O14786,114.555386,Q08345_O14786.pdb
P10747,P40200,310.194196,P10747_P40200.pdb
P04626,P28827,49.907739,P04626_P28827.pdb
P16284,Q9Y6N7,66.620677,P16284_Q9Y6N7.pdb
P19320,P17948,58.982131,P19320_P17948.pdb
Q86UP0,Q9Y5E9,-0.161399,Q86UP0_Q9Y5E9.pdb
Q9Y5F9,Q9Y5F7,-5.372604,Q9Y5F9_Q9Y5F7.pdb
P05067,Q9NZQ7,49.882321,P05067_Q9NZQ7.pdb
Q9Y6N7,P35968,116.602116,Q9Y6N7_P35968.pdb
P13612,P16144,-6.085981,P13612_P16144.pdb
P17301,P17301,8.793086,P17301_P17301.pdb
P09564,P09603,164.344816,P09564_P09603.pdb
P54764,O15197,2.236154,P54764_O15197.pdb
Q9UJ99,Q9UN67,-0.0677,Q9UJ99_Q9UN67.pdb
P29322,Q06418,302.514348,P29322_Q06418.pdb
Q9UMF0,Q8NFZ4,217.74144,Q9UMF0_Q8NFZ4.pdb
Q9HCL0,Q9UN73,-4.246641,Q9HCL0_Q9UN73.pdb
P01732,P31785,-2.836974,P01732_P31785.pdb
O14786,Q9Y6N7,250.125226,O14786_Q9Y6N7.pdb
Q9Y5G9,Q9Y5H2,-5.115158,Q9Y5G9_Q9Y5H2.pdb
Q8NHL6,Q8WWQ8,30.322762,Q8NHL6_Q8WWQ8.pdb
P28827,Q9NY15,30.633821,P28827_Q9NY15.pdb
O00238,O95297,9.804956,O00238_O95297.pdb
P55286,Q9Y5G3,-0.297456,P55286_Q9Y5G3.pdb
Q13634,Q9UN71,-2.900296,Q13634_Q9UN71.pdb
P46531,P30530,65.342024,P46531_P30530.pdb
P29017,Q9Y6W8,245.503095,P29017_Q9Y6W8.pdb
P04629,Q8IZJ1,28.695423,P04629_Q8IZJ1.pdb
Q8TF66,Q9BTN0,22.156235,Q8TF66_Q9BTN0.pdb
P09564,P30511,326.413799,P09564_P30511.pdb
P55287,Q08174,-5.283815,P55287_Q08174.pdb
P01911,P15812,189.328039,P01911_P15812.pdb
P00533,P29323,66.526135,P00533_P29323.pdb
P01732,Q8N109,18.833742,P01732_Q8N109.pdb
Q13873,P21802,2.108348,Q13873_P21802.pdb
Q15109,P19320,67.368975,Q15109_P19320.pdb
Q14126,Q9Y5E4,-0.740647,Q14126_Q9Y5E4.pdb
Q9Y6N8,Q9Y5G0,-1.723641,Q9Y6N8_Q9Y5G0.pdb
P16410,P20701,-2.184496,P16410_P20701.pdb
O15031,Q9H3T2,4.44918,O15031_Q9H3T2.pdb
Q99075,P19438,124.388467,Q99075_P19438.pdb
P14616,P35968,15.389786,P14616_P35968.pdb
O00478,P13612,26.113277,O00478_P13612.pdb
Q8WVV5,P10966,199.627137,Q8WVV5_P10966.pdb
P24394,P11215,51.410256,P24394_P11215.pdb
Q8WUT4,Q9H156,17.684709,Q8WUT4_Q9H156.pdb
Q86UP0,Q9Y5E8,-3.222115,Q86UP0_Q9Y5E8.pdb
Q9HBT6,P22223,0.906335,Q9HBT6_P22223.pdb
P08648,O00592,130.928117,P08648_O00592.pdb
P09603,O15455,359.692404,P09603_O15455.pdb
P29320,P36888,102.798683,P29320_P36888.pdb
Q9Y5F1,Q9Y5G9,-5.282039,Q9Y5F1_Q9Y5G9.pdb
P29017,P01909,257.268839,P29017_P01909.pdb
P05106,P43121,162.381495,P05106_P43121.pdb
P23470,Q01973,13.537657,P23470_Q01973.pdb
Q9UF33,Q02763,111.017995,Q9UF33_Q02763.pdb
P29320,P10912,64.47956,P29320_P10912.pdb
Q86WK6,Q92823,64.333022,Q86WK6_Q92823.pdb
P11912,P40259,62.761906,P11912_P40259.pdb
Q9Y5E2,Q9Y5G3,-4.730021,Q9Y5E2_Q9Y5G3.pdb
Q14118,P07204,98.510131,Q14118_P07204.pdb
Q6V0I7,P53708,47.685788,Q6V0I7_P53708.pdb
O43157,O15031,4.586145,O43157_O15031.pdb
Q9Y5E5,O60330,-5.73126,Q9Y5E5_O60330.pdb
Q8IXH8,P32926,0.172716,Q8IXH8_P32926.pdb
P09564,Q8IYV9,117.770217,P09564_Q8IYV9.pdb
P06126,P01871,51.122867,P06126_P01871.pdb
Q15223,Q9H2E6,0.456727,Q15223_Q9H2E6.pdb
Q9NYQ8,Q8N2Q7,-0.888289,Q9NYQ8_Q8N2Q7.pdb
Q9HCK4,Q13591,266.637625,Q9HCK4_Q13591.pdb
Q8N126,O94985,26.343057,Q8N126_O94985.pdb
P55291,Q9Y5I1,-3.761562,P55291_Q9Y5I1.pdb
Q9BY67,O94856,70.099114,Q9BY67_O94856.pdb
O95727,P17181,3.97917,O95727_P17181.pdb
Q08334,Q99650,29.075577,Q08334_Q99650.pdb
P82279,Q9ULB1,-2.768564,P82279_Q9ULB1.pdb
P20023,P15529,-3.718872,P20023_P15529.pdb
P09564,P78423,3.270458,P09564_P78423.pdb
Q99665,P18627,48.547522,Q99665_P18627.pdb
Q06481,O95297,0.710313,Q06481_O95297.pdb
P05107,Q9Y639,-5.353721,P05107_Q9Y639.pdb
Q9Y5E7,Q9Y5G0,-4.731438,Q9Y5E7_Q9Y5G0.pdb
Q8TDW7,P05556,611.371958,Q8TDW7_P05556.pdb
Q9BRK3,P09619,342.139982,Q9BRK3_P09619.pdb
Q9BZA7,Q8N6Y1,-4.919237,Q9BZA7_Q8N6Y1.pdb
P01732,Q8IYS5,94.838462,P01732_Q8IYS5.pdb
Q15375,Q6ZN44,45.804557,Q15375_Q6ZN44.pdb
Q92637,Q6GTX8,7.264525,Q92637_Q6GTX8.pdb
P10966,P40197,25.616722,P10966_P40197.pdb
P16070,P17948,266.808197,P16070_P17948.pdb
Q9P2E7,Q9Y5G8,-4.889655,Q9P2E7_Q9Y5G8.pdb
Q9Y5I2,Q9Y5E8,-5.316868,Q9Y5I2_Q9Y5E8.pdb
P10586,Q9Y6N7,296.267056,P10586_Q9Y6N7.pdb
P05556,Q9P1W8,-2.246888,P05556_Q9P1W8.pdb
A6NJW9,Q86XK7,144.120129,A6NJW9_Q86XK7.pdb
P17693,O95944,256.250783,P17693_O95944.pdb
Q5ZPR3,Q96PD2,111.544827,Q5ZPR3_Q96PD2.pdb
Q8N423,Q15223,112.72593,Q8N423_Q15223.pdb
Q9HCL0,Q9HCL0,-5.046772,Q9HCL0_Q9HCL0.pdb
Q14517,Q9UN74,-4.587591,Q14517_Q9UN74.pdb
Q13443,P18564,22.812651,Q13443_P18564.pdb
P05067,P35613,-4.679991,P05067_P35613.pdb
P01732,P12319,119.67743,P01732_P12319.pdb
Q92692,Q5T2D2,118.867694,Q92692_Q5T2D2.pdb
Q08554,Q8N6Y1,0.578045,Q08554_Q8N6Y1.pdb
P04626,P23471,240.443189,P04626_P23471.pdb
P20701,P16144,24.150861,P20701_P16144.pdb
P01903,P01871,79.766418,P01903_P01871.pdb
P54753,P28827,8.950041,P54753_P28827.pdb
O94856,O60939,296.67256,O94856_O60939.pdb
Q86WK6,Q9HCJ2,11.40461,Q86WK6_Q9HCJ2.pdb
Q8TD84,O95185,433.38356,Q8TD84_O95185.pdb
Q99795,P56199,118.97806,Q99795_P56199.pdb
Q9Y5F0,O60330,-5.723951,Q9Y5F0_O60330.pdb
O60469,P28827,67.866278,O60469_P28827.pdb
Q6ZTQ4,Q9Y5H9,-4.8252,Q6ZTQ4_Q9Y5H9.pdb
P28827,Q9UIB8,69.108606,P28827_Q9UIB8.pdb
P11912,Q9NZQ7,156.792806,P11912_Q9NZQ7.pdb
Q8NET5,P04629,1.642855,Q8NET5_P04629.pdb
P35968,P35968,104.00524,P35968_P35968.pdb
Q9UJ99,Q9Y5F2,-4.013489,Q9UJ99_Q9Y5F2.pdb
Q9Y6N7,P13726,18.138714,Q9Y6N7_P13726.pdb
P00533,Q9UKJ1,133.874706,P00533_Q9UKJ1.pdb
Q9Y5E4,Q9Y5F9,-5.594213,Q9Y5E4_Q9Y5F9.pdb
P01732,Q68D85,158.216308,P01732_Q68D85.pdb
Q8N423,P40200,54.013021,Q8N423_P40200.pdb
P43631,Q8N423,32.995809,P43631_Q8N423.pdb
P13591,Q9P1W8,54.740175,P13591_Q9P1W8.pdb
P04626,Q9BX67,26.949079,P04626_Q9BX67.pdb
Q9Y5H5,Q9Y5G5,-5.3481,Q9Y5H5_Q9Y5G5.pdb
P46531,Q02297,-4.493561,P46531_Q02297.pdb
P05067,Q01151,-5.066564,P05067_Q01151.pdb
P10747,P20333,14.716549,P10747_P20333.pdb
Q86WK6,Q9BZ76,-1.559806,Q86WK6_Q9BZ76.pdb
Q7Z6A9,Q29980,281.670763,Q7Z6A9_Q29980.pdb
Q9HBB8,Q9Y5E8,7.785486,Q9HBB8_Q9Y5E8.pdb
O94985,Q9Y5I2,-1.439324,O94985_Q9Y5I2.pdb
Q9Y6N8,Q9HBT6,-4.158492,Q9Y6N8_Q9HBT6.pdb
P04626,P04629,253.608093,P04626_P04629.pdb
Q96AP7,Q14517,22.988188,Q96AP7_Q14517.pdb
P10912,P16471,5.733231,P10912_P16471.pdb
Q6ZTQ4,Q02487,3.034796,Q6ZTQ4_Q02487.pdb
O00478,P04440,7.608879,O00478_P04440.pdb
P20333,P43489,20.625979,P20333_P43489.pdb
P29323,P23468,472.883273,P29323_P23468.pdb
P04440,P13762,37.966364,P04440_P13762.pdb
P43146,P12319,33.391542,P43146_P12319.pdb
P01732,P15509,10.199066,P01732_P15509.pdb
Q8TAB3,Q9UN74,-5.008831,Q8TAB3_Q9UN74.pdb
Q13478,Q01638,41.109755,Q13478_Q01638.pdb
O60469,O75121,48.941454,O60469_O75121.pdb
Q13651,P46531,133.148722,Q13651_P46531.pdb
P01909,P01909,-3.139553,P01909_P01909.pdb
P16284,P78423,11.481043,P16284_P78423.pdb
P22223,Q9Y5G0,0.51669,P22223_Q9Y5G0.pdb
P17342,P17342,9.403283,P17342_P17342.pdb
Q96MS0,P13726,237.217751,Q96MS0_P13726.pdb
Q9NQ25,Q495A1,139.01857,Q9NQ25_Q495A1.pdb
Q5ZPR3,P78552,90.210498,Q5ZPR3_P78552.pdb
P36894,P10586,4.586007,P36894_P10586.pdb
P29376,P35916,109.91927,P29376_P35916.pdb
P20036,P01871,92.70494,P20036_P01871.pdb
Q15303,Q01973,0.516063,Q15303_Q01973.pdb
Q14943,Q8NET5,57.920903,Q14943_Q8NET5.pdb
P20916,Q92692,52.839815,P20916_Q92692.pdb
P54753,P14616,-0.829332,P54753_P14616.pdb
P33681,P01589,26.823489,P33681_P01589.pdb
P01133,P04626,58.575322,P01133_P04626.pdb
O75144,P46531,34.085088,O75144_P46531.pdb
P10747,Q9UGN4,44.661818,P10747_Q9UGN4.pdb
P30203,P09564,-4.7,P30203_P09564.pdb
P12319,Q9NR97,7.75226,P12319_Q9NR97.pdb
Q8NHL6,Q68D85,110.609153,Q8NHL6_Q68D85.pdb
Q8TD46,Q6Q8B3,157.629773,Q8TD46_Q6Q8B3.pdb
Q8NET5,Q15399,37.261064,Q8NET5_Q15399.pdb
Q9Y5E6,Q9Y5F6,-5.331429,Q9Y5E6_Q9Y5F6.pdb
Q9HCJ2,P20916,11.803133,Q9HCJ2_P20916.pdb
P20036,P20701,16.016061,P20036_P20701.pdb
P00533,Q02297,75.768273,P00533_Q02297.pdb
Q8TD84,P54753,133.525157,Q8TD84_P54753.pdb
P54753,Q01974,68.777469,P54753_Q01974.pdb
P19438,P17948,-1.52544,P19438_P17948.pdb
P06756,Q96KG7,8.169619,P06756_Q96KG7.pdb
O14917,Q9Y5G2,-5.102807,O14917_Q9Y5G2.pdb
P03372,P42702,41.205037,P03372_P42702.pdb
Q6ZTQ4,Q9Y5H6,-3.972691,Q6ZTQ4_Q9Y5H6.pdb
P13591,Q92823,12.954133,P13591_Q92823.pdb
O43157,Q9C0C4,8.302208,O43157_Q9C0C4.pdb
Q30201,P48357,-4.7,Q30201_P48357.pdb
P16144,Q15262,303.823024,P16144_Q15262.pdb
P13612,Q6GTX8,-4.977203,P13612_Q6GTX8.pdb
P10721,P17948,73.469046,P10721_P17948.pdb
P36894,Q14118,3.489176,P36894_Q14118.pdb
P01732,Q9UM44,117.553646,P01732_Q9UM44.pdb
Q86SJ6,Q9Y5I1,4.861055,Q86SJ6_Q9Y5I1.pdb
Q15303,O14511,22.173618,Q15303_O14511.pdb
P22223,Q9BYE9,0.584825,P22223_Q9BYE9.pdb
P54756,P35590,109.392528,P54756_P35590.pdb
Q04912,P19320,208.264568,Q04912_P19320.pdb
Q9Y5H1,Q9Y5G3,-5.010555,Q9Y5H1_Q9Y5G3.pdb
Q16288,P08922,66.410202,Q16288_P08922.pdb
Q6ZTQ4,Q9Y5E7,-5.337819,Q6ZTQ4_Q9Y5E7.pdb
Q9Y6N8,P19022,-5.679349,Q9Y6N8_P19022.pdb
P22223,Q86SJ6,0.475236,P22223_Q86SJ6.pdb
Q13740,P54764,68.856561,Q13740_P54764.pdb
P40189,P78504,107.60937,P40189_P78504.pdb
P15813,P40189,128.015831,P15813_P40189.pdb
Q6Q8B3,Q9UKJ0,338.936578,Q6Q8B3_Q9UKJ0.pdb
Q9ULH4,Q16620,10.110568,Q9ULH4_Q16620.pdb
P06340,P40189,55.554756,P06340_P40189.pdb
Q9UN67,Q9Y5G8,-4.558404,Q9UN67_Q9Y5G8.pdb
P29376,P04629,89.368848,P29376_P04629.pdb
P55283,Q9Y5G8,-4.557598,P55283_Q9Y5G8.pdb
O60469,O43157,21.542223,O60469_O43157.pdb
P21802,P14616,12.355641,P21802_P14616.pdb
Q96JA1,Q15262,412.153813,Q96JA1_Q15262.pdb
P15813,Q01151,309.314943,P15813_Q01151.pdb
Q9Y5H4,Q9Y5H0,-4.857269,Q9Y5H4_Q9Y5H0.pdb
P21709,P29317,7.791736,P21709_P29317.pdb
P07766,Q9NZQ7,6.1416,P07766_Q9NZQ7.pdb
O94985,Q8TD84,18.303167,O94985_Q8TD84.pdb
Q13797,P11215,96.037969,Q13797_P11215.pdb
P08174,P16109,1.09779,P08174_P16109.pdb
Q9Y286,P19320,270.154192,Q9Y286_P19320.pdb
Q8N423,Q8IWT1,102.036274,Q8N423_Q8IWT1.pdb
Q9ULB4,O60245,-3.998063,Q9ULB4_O60245.pdb
Q6UXM1,Q13641,31.893191,Q6UXM1_Q13641.pdb
Q14118,P37173,85.6046,Q14118_P37173.pdb
Q6UXZ3,P57087,112.558193,Q6UXZ3_P57087.pdb
P04439,Q29980,291.621169,P04439_Q29980.pdb
Q13705,Q01974,-2.79208,Q13705_Q01974.pdb
Q14118,P21860,55.411684,Q14118_P21860.pdb
P40189,P17301,40.126254,P40189_P17301.pdb
Q15762,P43489,17.043424,Q15762_P43489.pdb
P42081,P04626,114.03005,P42081_P04626.pdb
P29317,P29322,4.838487,P29317_P29322.pdb
Q9UJ99,Q9Y5G2,-1.37824,Q9UJ99_Q9Y5G2.pdb
P07333,P29322,-4.7,P07333_P29322.pdb
P10586,P23471,135.556173,P10586_P23471.pdb
P78310,P35968,114.476868,P78310_P35968.pdb
Q14517,P19320,21.751409,Q14517_P19320.pdb
P03372,P31785,9.616746,P03372_P31785.pdb
P05106,P46531,190.406009,P05106_P46531.pdb
P29016,Q95460,278.752758,P29016_Q95460.pdb
Q86SJ6,Q9Y5I2,4.911975,Q86SJ6_Q9Y5I2.pdb
P40259,Q99795,131.017325,P40259_Q99795.pdb
Q9Y5E7,Q9Y5G1,-4.755521,Q9Y5E7_Q9Y5G1.pdb
Q15768,Q96MS0,22.496107,Q15768_Q96MS0.pdb
Q6UXL0,Q92692,-1.187646,Q6UXL0_Q92692.pdb
Q9NYQ8,Q92692,58.440867,Q9NYQ8_Q92692.pdb
P19022,Q9HCL0,1.906357,P19022_Q9HCL0.pdb
Q13705,P36897,-1.684143,Q13705_P36897.pdb
Q9H251,Q9HCL0,-4.84857,Q9H251_Q9HCL0.pdb
Q9BQT9,Q86SJ6,7.691091,Q9BQT9_Q86SJ6.pdb
Q15116,Q92692,9.199209,Q15116_Q92692.pdb
P23229,P18564,6.664685,P23229_P18564.pdb
Q6GTX8,Q8N149,53.588277,Q6GTX8_Q8N149.pdb
Q9Y5E9,Q9Y5G7,-5.586283,Q9Y5E9_Q9Y5G7.pdb
P54764,O94856,194.404538,P54764_O94856.pdb
Q9ULB4,Q9Y5F3,0.894713,Q9ULB4_Q9Y5F3.pdb
Q14126,O60245,-5.696482,Q14126_O60245.pdb
Q9Y5Z0,P01730,91.293707,Q9Y5Z0_P01730.pdb
Q14574,Q9Y5F9,-3.441162,Q14574_Q9Y5F9.pdb
Q9UF33,P23468,215.448316,Q9UF33_P23468.pdb
P09693,P05107,51.624898,P09693_P05107.pdb
Q9NRJ7,Q9Y5H0,-5.777232,Q9NRJ7_Q9Y5H0.pdb
P20916,Q92823,25.323781,P20916_Q92823.pdb
P19022,Q96JQ0,-1.686555,P19022_Q96JQ0.pdb
Q12864,Q9Y5H0,-4.921823,Q12864_Q9Y5H0.pdb
P20701,Q9Y624,24.106954,P20701_Q9Y624.pdb
P06340,O60449,30.04062,P06340_O60449.pdb
P13591,Q9Y6N7,16.131424,P13591_Q9Y6N7.pdb
Q9UJ99,P55283,-7.939985,Q9UJ99_P55283.pdb
P01732,Q495A1,136.944314,P01732_Q495A1.pdb
O14917,Q9Y5F0,-5.410579,O14917_Q9Y5F0.pdb
P00533,O95976,4.111301,P00533_O95976.pdb
Q96PD2,P20916,189.599607,Q96PD2_P20916.pdb
Q14574,Q9Y5H6,-2.2936,Q14574_Q9Y5H6.pdb
Q9BRK3,P19438,205.555342,Q9BRK3_P19438.pdb
Q9ULB5,Q9Y5G0,-1.291897,Q9ULB5_Q9Y5G0.pdb
P55287,Q9Y5F2,-3.991438,P55287_Q9Y5F2.pdb
Q86SJ6,Q8TAB3,2.383983,Q86SJ6_Q8TAB3.pdb
P29320,Q01974,101.795276,P29320_Q01974.pdb
P10966,Q9NR97,17.406103,P10966_Q9NR97.pdb
Q9BZA8,Q9UN71,-3.933817,Q9BZA8_Q9UN71.pdb
Q9BYE9,Q9Y5E8,-5.013833,Q9BYE9_Q9Y5E8.pdb
P78310,P21860,65.672748,P78310_P21860.pdb
P21860,Q15303,270.657408,P21860_Q15303.pdb
P01903,P00533,-4.7,P01903_P00533.pdb
Q9Y6N8,Q9Y5E4,2.064844,Q9Y6N8_Q9Y5E4.pdb
Q96LA5,Q8N423,59.186059,Q96LA5_Q8N423.pdb
P40259,P40259,-2.267012,P40259_P40259.pdb
Q9H6D8,Q8NHL6,22.194924,Q9H6D8_Q8NHL6.pdb
P40198,Q8IYV9,20.189881,P40198_Q8IYV9.pdb
Q02487,Q9UN70,1.218596,Q02487_Q9UN70.pdb
Q02487,Q9Y5F1,-3.540257,Q02487_Q9Y5F1.pdb
P06340,P13612,-4.7,P06340_P13612.pdb
P23468,Q15262,148.524872,P23468_Q15262.pdb
P24394,P17181,123.712459,P24394_P17181.pdb
Q9Y5E3,Q9UN66,-6.264819,Q9Y5E3_Q9UN66.pdb
O00238,Q14956,126.790811,O00238_Q14956.pdb
Q9NPG4,Q9Y5E5,-5.542439,Q9NPG4_Q9Y5E5.pdb
Q86SJ6,Q08174,0.28957,Q86SJ6_Q08174.pdb
P42081,Q92956,25.361338,P42081_Q92956.pdb
Q9NPG4,Q9NRJ7,-5.44723,Q9NPG4_Q9NRJ7.pdb
Q92823,Q02297,69.814172,Q92823_Q02297.pdb
P10586,P19320,308.490186,P10586_P19320.pdb
Q9UQC9,P38570,335.155203,Q9UQC9_P38570.pdb
P01730,Q29983,14.336326,P01730_Q29983.pdb
Q8TDW7,Q9Y5G5,-4.934507,Q8TDW7_Q9Y5G5.pdb
Q02297,P08138,-5.472137,Q02297_P08138.pdb
Q9UKX5,P56199,13.431614,Q9UKX5_P56199.pdb
Q13873,P08887,-4.467808,Q13873_P08887.pdb
Q9H4D0,Q9Y5E2,-1.759779,Q9H4D0_Q9Y5E2.pdb
P01730,P40189,95.043593,P01730_P40189.pdb
P55291,Q9UN66,-4.481781,P55291_Q9UN66.pdb
P36888,P17948,112.098277,P36888_P17948.pdb
Q9ULL4,Q9NTN9,5.592799,Q9ULL4_Q9NTN9.pdb
Q02413,Q9Y5I0,2.286231,Q02413_Q9Y5I0.pdb
P55289,O95206,-2.792728,P55289_O95206.pdb
P14778,P15151,54.678792,P14778_P15151.pdb
Q86SJ2,O95297,228.335718,Q86SJ2_O95297.pdb
P14784,P48551,45.220261,P14784_P48551.pdb
P04440,P19320,23.626628,P04440_P19320.pdb
O75144,O14511,147.539729,O75144_O14511.pdb
P01730,O00206,96.539581,P01730_O00206.pdb
P00533,Q99075,139.456599,P00533_Q99075.pdb
P03372,Q8WUT4,32.761515,P03372_Q8WUT4.pdb
Q96NY8,Q96NY8,170.883554,Q96NY8_Q96NY8.pdb
Q8NHL6,Q8TD46,111.198371,Q8NHL6_Q8TD46.pdb
Q9Y5H0,Q08174,-3.66534,Q9Y5H0_Q08174.pdb
Q6UWB1,P16871,22.420218,Q6UWB1_P16871.pdb
Q14943,Q96DU3,77.246785,Q14943_Q96DU3.pdb
P14770,Q9H756,2.00737,P14770_Q9H756.pdb
Q30154,P17693,56.273745,Q30154_P17693.pdb
P06340,P31994,149.960219,P06340_P31994.pdb
Q96P31,P19320,39.646237,Q96P31_P19320.pdb
P16871,Q13291,49.0665,P16871_Q13291.pdb
P01732,Q92692,143.678163,P01732_Q92692.pdb
